-- MONTHLY REPORT --  Year: 2017 Month: 10 ( Reported at: 2017-12-13 22:14 )
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Date\Src|   Dnevnik|     Focus|   Monitor|      News|   OffNews|       PIK|     Blitz|    Classa|   24chasa|      Trud|      Duma| Mediapool|     ClubZ|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|2017-10-01|        68|       274|        53|        36|        63|       157|        32|        44|        80|        27|         0|        23|        24|
|2017-10-02|        85|       369|        73|       104|        90|       239|        32|        32|       110|        31|        11|        45|        24|
|2017-10-03|        88|       414|        62|       104|        83|       230|        32|        45|       111|        23|        12|         0|        24|
|2017-10-04|        98|       382|        68|       106|        71|       207|        30|        31|       112|        30|        17|        54|        24|
|2017-10-05|       111|       436|        78|       111|        78|       216|        28|        37|       112|        18|        14|        62|        24|
|2017-10-06|       102|       414|        54|       111|        86|       209|        28|        32|       111|        32|        22|        52|        24|
|2017-10-07|        59|       268|        25|        45|        49|       153|        30|        41|        63|        23|         0|        28|        24|
|2017-10-08|        55|       300|        46|        44|        48|       155|        30|        35|        72|        25|         0|        21|        24|
|2017-10-09|        89|       405|        89|       116|        83|       222|        32|        37|       110|        22|        12|        39|        24|
|2017-10-10|       100|       369|        84|       118|        72|       216|        29|        54|       112|        32|        12|        49|        24|
|2017-10-11|        96|       416|        71|       110|        57|       221|        24|        35|       112|        24|        11|        47|        24|
|2017-10-12|        88|       397|        62|       112|        64|       215|        30|        32|       111|        30|        11|        60|        24|
|2017-10-13|        79|       406|        65|       103|        77|       205|        32|        32|       111|        30|        11|        47|        24|
|2017-10-14|        58|       270|        36|        58|        30|       145|        30|        43|        94|        23|         0|        23|        20|
|2017-10-15|        55|       278|        50|        54|        41|       157|        29|        39|       104|        31|         0|        26|        24|
|2017-10-16|        83|       358|        81|        87|        64|       228|        24|        30|       111|        22|        10|        47|        24|
|2017-10-17|        94|       395|        84|       106|        68|       221|        31|        36|       112|        31|        16|        51|        24|
|2017-10-18|       105|       429|        72|       104|        64|       221|        29|        48|       111|        27|        19|        66|        24|
|2017-10-19|       111|       385|        89|        94|        68|       200|        31|        36|       111|        26|        14|        58|        24|
|2017-10-20|        96|       385|        63|        95|        62|       218|        31|        37|       112|        29|        12|        57|        24|
|2017-10-21|        64|       230|        22|        47|        40|       160|        31|        45|        75|        26|         0|        23|        20|
|2017-10-22|        53|       188|        56|        34|        35|       153|        31|        34|        81|        23|         0|        12|        24|
|2017-10-23|        92|       371|        82|       102|        72|       218|        32|        45|       111|        31|         9|        51|        24|
|2017-10-24|       100|       408|        89|       113|        70|       222|        31|        58|       111|        26|        11|        47|        24|
|2017-10-25|       101|       433|        77|       113|        65|       214|        14|        42|       111|        29|        11|        48|        24|
|2017-10-26|        97|       434|        81|       111|        69|       196|        29|        47|       112|        24|        11|        48|        24|
|2017-10-27|       104|       437|        82|        99|        69|       189|        31|        37|       112|        28|        12|        49|        24|
|2017-10-28|        57|       210|        24|        50|        39|       145|        31|        51|        97|        24|         0|        18|        24|
|2017-10-29|        54|       222|        57|        56|        39|       160|        31|        42|        84|        24|         0|        13|        24|
|2017-10-30|        93|       379|        79|        99|        75|       226|        31|        41|       111|        26|         7|        43|        24|
|2017-10-31|       108|       352|        72|       109|        67|       221|        31|        36|       111|        28|        12|        61|        24|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Total   |      2643|     11014|      2026|      2751|      1958|      6139|       917|      1234|      3198|       825|       277|      1268|       736|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
 TOTAL articles : 34986
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
