-- MONTHLY REPORT --  Year: 2017 Month: 11 ( Reported at: 2017-12-01 15:45 )
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Date\Src|   Dnevnik|     Focus|   Monitor|      News|   OffNews|       PIK|     Blitz|    Classa|   24chasa|      Trud|      Duma| Mediapool|     ClubZ|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|2017-11-01|        94|       395|        79|       116|        76|       211|        31|        33|       112|        28|         0|        57|        24|
|2017-11-02|        98|       361|        69|       107|        73|       206|        50|        33|        11|        18|        11|        59|        24|
|2017-11-03|        92|       308|        64|        90|        62|       215|        31|        44|       112|        23|        12|        50|        24|
|2017-11-04|        53|       224|        36|        45|        46|       150|        26|        35|        72|        31|         0|        19|        19|
|2017-11-05|        47|       225|        60|        45|        40|       167|        31|        32|        76|        29|         0|        23|        24|
|2017-11-06|        79|       320|        74|        79|        59|       220|        32|        43|       111|        27|        11|        40|        24|
|2017-11-07|       105|       377|        81|       104|        60|       226|        32|        39|       112|        25|        51|        54|        24|
|2017-11-08|        93|       371|        77|       112|        66|       218|        37|        60|       112|        22|        68|        47|        24|
|2017-11-09|        95|       370|        85|       111|        61|       207|        33|        72|       111|        25|        57|        46|        24|
|2017-11-10|        92|       384|        86|       113|        60|       213|        32|        34|       135|        28|        56|        43|        24|
|2017-11-11|        53|       208|        22|        38|        44|       147|        25|        59|        66|        19|         0|        15|        24|
|2017-11-12|        71|       209|        53|        36|        23|       147|        32|        44|        83|        24|         0|        17|        24|
|2017-11-13|       110|       366|        78|        97|        64|       227|        32|        32|       111|        24|        45|        59|        24|
|2017-11-14|       110|       370|        66|        92|        63|       189|        32|        33|       112|        26|        38|        49|        24|
|2017-11-15|       120|       430|        80|       106|        72|       223|        31|        44|       112|        27|        68|        66|        24|
|2017-11-16|       105|       405|        65|       111|        71|       207|        31|        32|       112|        28|        64|        47|        24|
|2017-11-17|        92|       420|        59|       103|        61|       212|        30|        32|       112|        27|        68|        52|        24|
|2017-11-18|        69|       204|        27|        41|        35|       152|        31|        35|        74|        33|         0|        25|        24|
|2017-11-19|        52|       218|        59|        47|        33|       162|        62|        39|        78|        54|         0|        23|        25|
|2017-11-20|       106|       335|        75|       115|        67|       210|        32|        34|       111|        29|        46|        44|        24|
|2017-11-21|       107|       366|        76|       108|        56|       234|        30|        45|       112|        26|        44|        51|        24|
|2017-11-22|       116|       358|        84|       104|        66|       231|        32|        34|       112|        27|        68|        58|        24|
|2017-11-23|       103|       372|        68|       109|        60|       203|        32|        32|       111|        30|        63|        68|        24|
|2017-11-24|        89|       347|        68|       102|        72|       200|        31|        35|       112|        27|        63|        45|        24|
|2017-11-25|        67|       206|        25|        50|        36|       150|        32|        32|        96|        28|         0|        21|        24|
|2017-11-26|        58|       224|        60|        49|        41|       158|        30|        32|       101|        21|         0|        15|        24|
|2017-11-27|       100|       414|        90|        95|        62|       221|        32|        21|       112|        28|        40|        49|        24|
|2017-11-28|       106|       381|        84|       112|        68|       189|        32|        32|       111|        28|        50|        55|        24|
|2017-11-29|       112|       409|        94|       117|        66|       228|        31|        36|       111|        21|        61|        45|        24|
|2017-11-30|       102|       464|        76|       119|        61|       225|        32|        36|       112|        22|        63|        55|        24|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Total   |      2696|     10041|      2020|      2673|      1724|      5948|       987|      1144|      3025|       805|      1047|      1297|       716|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
 TOTAL articles : 34123
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
