-- MONTHLY REPORT --  Year: 2017 Month: 7 ( Reported at: 2017-09-13 15:35 )
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Date\Src|   Dnevnik|     Focus|   Monitor|      News|   OffNews|       PIK|     Blitz|    Classa|   24chasa|      Trud|      Duma| Mediapool|     ClubZ|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|2017-07-01|        55|       258|         0|        43|        37|       185|         9|         0|        70|        31|         0|        21|        15|
|2017-07-02|        47|       317|         0|        47|        48|       139|       108|         0|         1|        91|         0|         0|         1|
|2017-07-03|        82|       428|         0|       103|        82|       249|        37|         0|        22|        71|         0|        45|        30|
|2017-07-04|        97|       390|         0|       103|        86|       226|       127|         0|        31|        83|        14|        47|        37|
|2017-07-05|        95|       394|         0|       114|        70|       238|        67|         0|        22|        72|        18|        34|        24|
|2017-07-06|        99|       373|         0|       118|        77|       249|        51|         0|        48|       129|        21|        56|        39|
|2017-07-07|        89|       431|         0|        96|        74|       229|        28|         0|        11|        21|        25|        24|        24|
|2017-07-08|        54|         0|         0|         0|        45|       166|        14|         0|         0|        19|         0|         3|         4|
|2017-07-09|        47|       235|         0|        55|        48|       155|         0|         0|        35|       103|         0|         0|         0|
|2017-07-10|        75|       365|         0|        98|        81|       248|        30|         0|        59|        72|         0|        49|        24|
|2017-07-11|        77|       367|         0|       101|        70|       238|        30|         0|         0|        72|         0|        50|        24|
|2017-07-12|        86|         0|         0|         0|        78|       237|         0|         0|         0|         1|        21|         8|         4|
|2017-07-13|        89|         0|         0|         0|        84|       213|         0|         0|       111|       157|         0|         0|         0|
|2017-07-14|        83|       404|         0|        81|        68|       232|         0|         0|       112|       129|         0|         0|         0|
|2017-07-15|        52|       265|         0|         0|        57|       152|        28|         0|        83|        72|         0|        20|        24|
|2017-07-16|        44|       265|         0|        45|        55|       165|        27|         0|         0|       103|         0|        15|        24|
|2017-07-17|        70|       377|         0|        81|        72|       252|        18|         0|         0|       140|        17|        13|         5|
|2017-07-18|        93|       436|         0|        73|        82|       231|        23|         0|         0|       146|        16|        38|        24|
|2017-07-19|       102|       388|         0|       103|        82|       244|        18|         0|        79|       143|        24|        16|        17|
|2017-07-20|       107|       405|         0|       100|        68|       208|        34|         0|       134|       152|        23|        49|        25|
|2017-07-21|        79|       385|         0|        94|        86|       217|        46|         0|       112|       137|        23|        49|        28|
|2017-07-22|        48|       226|         0|        58|        44|       153|        45|         0|        20|        81|         0|        25|        21|
|2017-07-23|        37|       235|         0|        43|        49|       166|        19|         0|         0|       100|         0|         9|        10|
|2017-07-24|        78|       347|         0|        77|        67|       241|        27|         0|         0|       166|        15|        47|        24|
|2017-07-25|       102|       334|         0|        80|        69|       246|        32|         0|         0|       179|         0|        52|        24|
|2017-07-26|       102|       424|         0|        76|        72|       246|        42|         0|       111|       176|        20|         8|         0|
|2017-07-27|        82|       391|         0|        90|        45|       213|        12|         0|        36|       149|        21|        33|        27|
|2017-07-28|        76|       349|         0|        85|        73|       262|        24|         0|         0|        27|        24|        45|        24|
|2017-07-29|        44|       253|         0|        38|        49|       168|        30|         0|         0|        41|         0|        12|        17|
|2017-07-30|        40|       240|         0|        38|        40|       142|        16|         0|         0|         1|         0|         3|         4|
|2017-07-31|        64|       348|         0|         0|        75|       294|        42|         0|         0|        33|        11|        44|        27|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Total   |      2295|      9630|         0|      2040|      2033|      6604|       984|         0|      1097|      2897|       293|       815|       551|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
 TOTAL articles : 29239
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
